DATE,MDSP
1980-01-01,4.375714
1980-04-01,4.484928
1980-07-01,4.493386
1980-10-01,4.512131
1981-01-01,4.596082
1981-04-01,4.723624
1981-07-01,4.720102
1981-10-01,4.802776
1982-01-01,4.884527
1982-04-01,4.930689
1982-07-01,4.890362
1982-10-01,4.876376
1983-01-01,4.850575
1983-04-01,4.850596
1983-07-01,4.854205
1983-10-01,4.870328
1984-01-01,4.895675
1984-04-01,4.934267
1984-07-01,4.972294
1984-10-01,5.042887
1985-01-01,5.220030
1985-04-01,5.281076
1985-07-01,5.408039
1985-10-01,5.482499
1986-01-01,5.504987
1986-04-01,5.542903
1986-07-01,5.598595
1986-10-01,5.698757
1987-01-01,5.705198
1987-04-01,5.823345
1987-07-01,5.789598
1987-10-01,5.733047
1988-01-01,5.734042
1988-04-01,5.767063
1988-07-01,5.791636
1988-10-01,5.726589
1989-01-01,5.753870
1989-04-01,5.859422
1989-07-01,5.948757
1989-10-01,5.981797
1990-01-01,6.013543
1990-04-01,6.060000
1990-07-01,6.101873
1990-10-01,6.184847
1991-01-01,6.222793
1991-04-01,6.195692
1991-07-01,6.181328
1991-10-01,6.100082
1992-01-01,5.988402
1992-04-01,5.906447
1992-07-01,5.837651
1992-10-01,5.795003
1993-01-01,5.766582
1993-04-01,5.705527
1993-07-01,5.700123
1993-10-01,5.613104
1994-01-01,5.556527
1994-04-01,5.528256
1994-07-01,5.551088
1994-10-01,5.579557
1995-01-01,5.640501
1995-04-01,5.686069
1995-07-01,5.662631
1995-10-01,5.629141
1996-01-01,5.589139
1996-04-01,5.594550
1996-07-01,5.602688
1996-10-01,5.594200
1997-01-01,5.603136
1997-04-01,5.625504
1997-07-01,5.619572
1997-10-01,5.582594
1998-01-01,5.515538
1998-04-01,5.494070
1998-07-01,5.465615
1998-10-01,5.455250
1999-01-01,5.467995
1999-04-01,5.523223
1999-07-01,5.566380
1999-10-01,5.585897
2000-01-01,5.576028
2000-04-01,5.620703
2000-07-01,5.654453
2000-10-01,5.701759
2001-01-01,5.695200
2001-04-01,5.775652
2001-07-01,5.756607
2001-10-01,5.929021
2002-01-01,5.811716
2002-04-01,5.775532
2002-07-01,5.808071
2002-10-01,5.831791
2003-01-01,5.871306
2003-04-01,5.841388
2003-07-01,5.770361
2003-10-01,5.828804
2004-01-01,5.836053
2004-04-01,5.834537
2004-07-01,5.922967
2004-10-01,5.992662
2005-01-01,6.236844
2005-04-01,6.284713
2005-07-01,6.403871
2005-10-01,6.497914
2006-01-01,6.528260
2006-04-01,6.694844
2006-07-01,6.848394
2006-10-01,6.948173
2007-01-01,6.984662
2007-04-01,7.012782
2007-07-01,7.086436
2007-10-01,7.183105
2008-01-01,7.122571
2008-04-01,6.929816
2008-07-01,6.965083
2008-10-01,6.926282
2009-01-01,6.888041
2009-04-01,6.737112
2009-07-01,6.663870
2009-10-01,6.533026
2010-01-01,6.351318
2010-04-01,6.181717
2010-07-01,6.078350
2010-10-01,5.934182
2011-01-01,5.706958
2011-04-01,5.641073
2011-07-01,5.560286
2011-10-01,5.436148
2012-01-01,5.275065
2012-04-01,5.165782
2012-07-01,5.145760
2012-10-01,4.934149
2013-01-01,5.030038
2013-04-01,4.931149
2013-07-01,4.871036
2013-10-01,4.842365
2014-01-01,4.747875
2014-04-01,4.666341
2014-07-01,4.593134
2014-10-01,4.530003
2015-01-01,4.512159
2015-04-01,4.466645
2015-07-01,4.445439
2015-10-01,4.453962
2016-01-01,4.428295
2016-04-01,4.427381
2016-07-01,4.411098
2016-10-01,4.345691
2017-01-01,4.302988
2017-04-01,4.266668
2017-07-01,4.250093
2017-10-01,4.224913
2018-01-01,4.182502
2018-04-01,4.169502
2018-07-01,4.147701
2018-10-01,4.141831
2019-01-01,4.151190
2019-04-01,4.158173
2019-07-01,4.153391
2019-10-01,4.130226
2020-01-01,4.089314
2020-04-01,3.735827
2020-07-01,3.873989
2020-10-01,3.959033
2021-01-01,3.506884
2021-04-01,3.789223
2021-07-01,3.807581
