DATE,MEHOINUSA672N
1984-01-01,53337
1985-01-01,54334
1986-01-01,56291
1987-01-01,56964
1988-01-01,57433
1989-01-01,58425
1990-01-01,57677
1991-01-01,55992
1992-01-01,55559
1993-01-01,55263
1994-01-01,55905
1995-01-01,57655
1996-01-01,58494
1997-01-01,59697
1998-01-01,61891
1999-01-01,63423
2000-01-01,63292
2001-01-01,61889
2002-01-01,61190
2003-01-01,61113
2004-01-01,60901
2005-01-01,61553
2006-01-01,62033
2007-01-01,62865
2008-01-01,60624
2009-01-01,60200
2010-01-01,58627
2011-01-01,57732
2012-01-01,57623
2013-01-01,59640
2014-01-01,58725
2015-01-01,61748
2016-01-01,63683
2017-01-01,64557
2018-01-01,65127
2019-01-01,69560
2020-01-01,67521
