DATE,PERMIT1,HSN1F
2002-12-31,1339.0,995.89
2003-12-31,1461.085,1090.665
2004-12-31,1604.2525,1200.8325
2005-12-31,1684.4975,1278.915
2006-12-31,1380.4175,1049.3325
2007-12-31,971.5825,768.6675
2008-12-31,567.4175,482.16499999999996
2009-12-31,439.58500000000004,374.25
2010-12-31,448.0,321.25
2011-12-31,420.0,306.41499999999996
2012-12-31,519.6675,368.0825
2013-12-31,619.0825,429.8325
2014-12-31,639.8325,440.25250000000005
2015-12-31,694.5825,502.58500000000004
2016-12-31,750.6675,560.5
2017-12-31,823.0,615.915
2018-12-31,853.7475000000001,613.835
2019-12-31,863.5,683.1675
2020-12-31,988.165,827.5825
2021-12-31,1116.8325,771.0825
2022-12-31,1213.0,801.0
