DATE,POPTHM
2002-12-31,288294446.6666667
2003-12-31,290626250.0
2004-12-31,293262332.5
2005-12-31,295992915.0
2006-12-31,298817667.5
2007-12-31,301696170.0
2008-12-31,304543085.0
2009-12-31,307240085.0
2010-12-31,309838832.5
2011-12-31,312295250.0
2012-12-31,314725415.0
2013-12-31,317099000.0
2014-12-31,319600415.0
2015-12-31,322112667.5
2016-12-31,324609332.5
2017-12-31,326859667.5
2018-12-31,328794502.5
2019-12-31,330512582.5
2020-12-31,331761250.0
2021-12-31,332212502.5
2022-12-31,332684000.0
