DATE,MDSP
2001-10-01,5.93
2002-01-01,5.81
2002-04-01,5.78
2002-07-01,5.81
2002-10-01,5.83
2003-01-01,5.87
2003-04-01,5.84
2003-07-01,5.77
2003-10-01,5.83
2004-01-01,5.84
2004-04-01,5.83
2004-07-01,5.92
2004-10-01,5.99
2005-01-01,6.24
2005-04-01,6.28
2005-07-01,6.4
2005-10-01,6.5
2006-01-01,6.53
2006-04-01,6.69
2006-07-01,6.85
2006-10-01,6.95
2007-01-01,6.98
2007-04-01,7.01
2007-07-01,7.09
2007-10-01,7.18
2008-01-01,7.12
2008-04-01,6.93
2008-07-01,6.97
2008-10-01,6.93
2009-01-01,6.89
2009-04-01,6.74
2009-07-01,6.66
2009-10-01,6.53
2010-01-01,6.35
2010-04-01,6.18
2010-07-01,6.08
2010-10-01,5.93
2011-01-01,5.71
2011-04-01,5.64
2011-07-01,5.56
2011-10-01,5.44
2012-01-01,5.28
2012-04-01,5.17
2012-07-01,5.15
2012-10-01,4.93
2013-01-01,5.03
2013-04-01,4.93
2013-07-01,4.87
2013-10-01,4.84
2014-01-01,4.75
2014-04-01,4.67
2014-07-01,4.59
2014-10-01,4.53
2015-01-01,4.51
2015-04-01,4.47
2015-07-01,4.45
2015-10-01,4.45
2016-01-01,4.43
2016-04-01,4.43
2016-07-01,4.41
2016-10-01,4.35
2017-01-01,4.3
2017-04-01,4.27
2017-07-01,4.25
2017-10-01,4.22
2018-01-01,4.18
2018-04-01,4.17
2018-07-01,4.15
2018-10-01,4.14
2019-01-01,4.15
2019-04-01,4.16
2019-07-01,4.15
2019-10-01,4.13
2020-01-01,4.09
2020-04-01,3.74
2020-07-01,3.87
2020-10-01,3.96
2021-01-01,3.51
2021-04-01,3.79
2021-07-01,3.81
