DATE,GFDEBTN
2002-03-31,6006032.0
2002-06-30,6126469.0
2002-09-30,6228236.0
2002-12-31,6405707.0
2003-03-31,6460776.0
2003-06-30,6670121.0
2003-09-30,6783320.0
2003-12-31,6997964.0
2004-03-31,7131068.0
2004-06-30,7274335.0
2004-09-30,7379053.0
2004-12-31,7596143.0
2005-03-31,7776939.0
2005-06-30,7836496.0
2005-09-30,7932710.0
2005-12-31,8170413.0
2006-03-31,8371156.0
2006-06-30,8420042.0
2006-09-30,8506974.0
2006-12-31,8680224.0
2007-03-31,8849665.0
2007-06-30,8867677.0
2007-09-30,9007653.0
2007-12-31,9229172.0
2008-03-31,9437594.0
2008-06-30,9492006.0
2008-09-30,10024725.0
2008-12-31,10699805.0
2009-03-31,11126941.0
2009-06-30,11545275.0
2009-09-30,11909828.0
2009-12-31,12311349.0
2010-03-31,12773123.0
2010-06-30,13201792.0
2010-09-30,13561622.0
2010-12-31,14025215.0
2011-03-31,14270114.0
2011-06-30,14343087.0
2011-09-30,14790340.0
2011-12-31,15222940.0
2012-03-31,15606518.0
2012-06-30,15855037.0
2012-09-30,16066240.0
2012-12-31,16432730.0
2013-03-31,16771381.0
2013-06-30,16738320.0
2013-09-30,16738180.0
2013-12-31,17156119.0
2014-03-31,17601227.0
2014-06-30,17632606.0
2014-09-30,17824071.0
2014-12-31,18141444.0
2015-03-31,18152056.0
2015-06-30,18151998.0
2015-09-30,18150618.0
2015-12-31,18922179.0
2016-03-31,19264939.0
2016-06-30,19381591.0
2016-09-30,19573445.0
2016-12-31,19976827.0
2017-03-31,19846420.0
2017-06-30,19844554.0
2017-09-30,20244900.0
2017-12-31,20492747.0
2018-03-31,21089643.0
2018-06-30,21195070.0
2018-09-30,21516058.0
2018-12-31,21974096.0
2019-03-31,22027880.0
2019-06-30,22023283.0
2019-09-30,22719402.0
2019-12-31,23201380.0
2020-03-31,23223813.0
2020-06-30,26477241.0
2020-09-30,26945391.0
2020-12-31,27747798.0
2021-03-31,28132570.0
2021-06-30,28529436.0
2021-09-30,28428919.0
2021-12-31,29617215.0
