DATE,MORTGAGE30US
2002-06-30,6.81
2002-09-30,6.29
2002-12-31,6.08
2003-03-31,5.84
2003-06-30,5.51
2003-09-30,6.03
2003-12-31,5.92
2004-03-31,5.6
2004-06-30,6.11
2004-09-30,5.89
2004-12-31,5.74
2005-03-31,5.77
2005-06-30,5.71
2005-09-30,5.76
2005-12-31,6.23
2006-03-31,6.25
2006-06-30,6.6
2006-09-30,6.56
2006-12-31,6.24
2007-03-31,6.21
2007-06-30,6.36
2007-09-30,6.55
2007-12-31,6.22
2008-03-31,5.87
2008-06-30,6.09
2008-09-30,6.32
2008-12-31,5.84
2009-03-31,5.06
2009-06-30,5.01
2009-09-30,5.16
2009-12-31,4.92
2010-03-31,5.0
2010-06-30,4.92
2010-09-30,4.45
2010-12-31,4.44
2011-03-31,4.85
2011-06-30,4.65
2011-09-30,4.29
2011-12-31,4.0
2012-03-31,3.92
2012-06-30,3.79
2012-09-30,3.55
2012-12-31,3.36
2013-03-31,3.5
2013-06-30,3.67
2013-09-30,4.44
2013-12-31,4.29
2014-03-31,4.36
2014-06-30,4.23
2014-09-30,4.14
2014-12-31,3.96
2015-03-31,3.72
2015-06-30,3.82
2015-09-30,3.95
2015-12-31,3.9
2016-03-31,3.74
2016-06-30,3.59
2016-09-30,3.45
2016-12-31,3.84
2017-03-31,4.17
2017-06-30,3.98
2017-09-30,3.88
2017-12-31,3.92
2018-03-31,4.28
2018-06-30,4.54
2018-09-30,4.57
2018-12-31,4.78
2019-03-31,4.37
2019-06-30,4.01
2019-09-30,3.66
2019-12-31,3.7
2020-03-31,3.52
2020-06-30,3.24
2020-09-30,2.95
2020-12-31,2.76
2021-03-31,2.88
2021-06-30,3.0
2021-09-30,2.87
2021-12-31,3.08
2022-03-31,3.6
