DATE,HSN1F
2002-06-30,957.0
2002-09-30,1004.67
2002-12-31,1026.0
2003-03-31,978.0
2003-06-30,1094.33
2003-09-30,1168.33
2003-12-31,1122.0
2004-03-31,1200.0
2004-06-30,1202.33
2004-09-30,1159.0
2004-12-31,1242.0
2005-03-31,1283.33
2005-06-30,1273.33
2005-09-30,1296.0
2005-12-31,1263.0
2006-03-31,1117.0
2006-06-30,1094.33
2006-09-30,1005.33
2006-12-31,980.67
2007-03-31,850.67
2007-06-30,840.67
2007-09-30,721.0
2007-12-31,662.33
2008-03-31,585.0
2008-06-30,509.0
2008-09-30,448.33
2008-12-31,386.33
2009-03-31,349.0
2009-06-30,368.67
2009-09-30,405.0
2009-12-31,374.33
2010-03-31,354.0
2010-06-30,335.67
2010-09-30,294.0
2010-12-31,301.33
2011-03-31,292.33
2011-06-30,305.33
2011-09-30,299.67
2011-12-31,328.33
2012-03-31,351.67
2012-06-30,361.33
2012-09-30,376.33
2012-12-31,383.0
2013-03-31,445.67
2013-06-30,446.33
2013-09-30,386.33
2013-12-31,441.0
2014-03-31,422.67
2014-06-30,424.0
2014-09-30,442.67
2014-12-31,471.67
2015-03-31,511.67
2015-06-30,494.67
2015-09-30,493.33
2015-12-31,510.67
2016-03-31,518.0
2016-06-30,568.0
2016-09-30,587.0
2016-12-31,569.0
2017-03-31,607.33
2017-06-30,614.33
2017-09-30,575.0
2017-12-31,667.0
2018-03-31,644.67
2018-06-30,645.33
2018-09-30,588.67
2018-12-31,576.67
2019-03-31,674.67
2019-06-30,673.0
2019-09-30,673.0
2019-12-31,712.0
2020-03-31,703.0
2020-06-30,708.33
2020-09-30,973.33
2020-12-31,925.67
2021-03-31,896.33
2021-06-30,737.33
2021-09-30,699.0
2021-12-31,751.67
2022-03-31,801.0
