DATE,PERMIT1,HSN1F
2002-06-30,1296.0,957.0
2002-09-30,1330.0,1004.67
2002-12-31,1391.0,1026.0
2003-03-31,1377.33,978.0
2003-06-30,1413.67,1094.33
2003-09-30,1510.67,1168.33
2003-12-31,1542.67,1122.0
2004-03-31,1583.67,1200.0
2004-06-30,1635.67,1202.33
2004-09-30,1605.0,1159.0
2004-12-31,1592.67,1242.0
2005-03-31,1621.33,1283.33
2005-06-30,1660.33,1273.33
2005-09-30,1745.33,1296.0
2005-12-31,1711.0,1263.0
2006-03-31,1627.67,1117.0
2006-06-30,1446.33,1094.33
2006-09-30,1269.0,1005.33
2006-12-31,1178.67,980.67
2007-03-31,1152.33,850.67
2007-06-30,1031.67,840.67
2007-09-30,916.33,721.0
2007-12-31,786.0,662.33
2008-03-31,671.33,585.0
2008-06-30,633.0,509.0
2008-09-30,547.67,448.33
2008-12-31,417.67,386.33
2009-03-31,358.33,349.0
2009-06-30,426.67,368.67
2009-09-30,485.67,405.0
2009-12-31,487.67,374.33
2010-03-31,516.67,354.0
2010-06-30,445.33,335.67
2010-09-30,405.67,294.0
2010-12-31,424.33,301.33
2011-03-31,399.33,292.33
2011-06-30,409.0,305.33
2011-09-30,423.0,299.67
2011-12-31,448.67,328.33
2012-03-31,479.0,351.67
2012-06-30,493.33,361.33
2012-09-30,533.67,376.33
2012-12-31,572.67,383.0
2013-03-31,604.0,445.67
2013-06-30,623.67,446.33
2013-09-30,626.33,386.33
2013-12-31,622.33,441.0
2014-03-31,615.67,422.67
2014-06-30,632.0,424.0
2014-09-30,653.33,442.67
2014-12-31,658.33,471.67
2015-03-31,649.33,511.67
2015-06-30,695.33,494.67
2015-09-30,709.67,493.33
2015-12-31,724.0,510.67
2016-03-31,727.67,518.0
2016-06-30,748.33,568.0
2016-09-30,739.0,587.0
2016-12-31,787.67,569.0
2017-03-31,814.0,607.33
2017-06-30,804.0,614.33
2017-09-30,815.67,575.0
2017-12-31,858.33,667.0
2018-03-31,865.33,644.67
2018-06-30,863.33,645.33
2018-09-30,852.33,588.67
2018-12-31,834.0,576.67
2019-03-31,814.0,674.67
2019-06-30,825.67,673.0
2019-09-30,880.33,673.0
2019-12-31,934.0,712.0
2020-03-31,961.33,703.0
2020-06-30,758.67,708.33
2020-09-30,1056.33,973.33
2020-12-31,1176.33,925.67
2021-03-31,1202.33,896.33
2021-06-30,1116.0,737.33
2021-09-30,1046.33,699.0
2021-12-31,1102.67,751.67
2022-03-31,1213.0,801.0
