DATE,CSUSHPISA
2002-03-31,117.89
2002-06-30,120.71
2002-09-30,123.83
2002-12-31,126.67
2003-03-31,129.32
2003-06-30,131.76
2003-09-30,135.01
2003-12-31,138.84
2004-03-31,143.3
2004-06-30,148.21
2004-09-30,152.72
2004-12-31,157.54
2005-03-31,163.48
2005-06-30,169.35
2005-09-30,174.58
2005-12-31,179.54
2006-03-31,183.32
2006-06-30,184.0
2006-09-30,182.82
2006-12-31,183.65
2007-03-31,184.42
2007-06-30,181.62
2007-09-30,178.26
2007-12-31,175.37
2008-03-31,171.58
2008-06-30,166.67
2008-09-30,161.96
2008-12-31,156.03
2009-03-31,150.06
2009-06-30,147.91
2009-09-30,148.24
2009-12-31,147.97
2010-03-31,146.3
2010-06-30,146.17
2010-09-30,143.97
2010-12-31,142.25
2011-03-31,140.62
2011-06-30,139.93
2011-09-30,139.24
2011-12-31,137.26
2012-03-31,137.01
2012-06-30,140.12
2012-09-30,142.29
2012-12-31,144.57
2013-03-31,148.19
2013-06-30,152.86
2013-09-30,156.94
2013-12-31,160.11
2014-03-31,162.52
2014-06-30,163.71
2014-09-30,165.24
2014-12-31,167.35
2015-03-31,169.21
2015-06-30,170.89
2015-09-30,172.98
2015-12-31,175.7
2016-03-31,177.72
2016-06-30,179.46
2016-09-30,181.87
2016-12-31,184.72
2017-03-31,187.38
2017-06-30,189.7
2017-09-30,192.7
2017-12-31,195.88
2018-03-31,199.15
2018-06-30,201.65
2018-09-30,203.77
2018-12-31,205.4
2019-03-31,206.74
2019-06-30,208.53
2019-09-30,210.29
2019-12-31,212.4
2020-03-31,215.57
2020-06-30,217.83
2020-09-30,222.79
2020-12-31,232.47
2021-03-31,242.14
2021-06-30,254.66
2021-09-30,266.95
2021-12-31,276.32
